Lat,Long_,Active,Combined_Key
33.93911,67.709953,5098.0,Afghanistan
41.1533,20.1683,5909.0,Albania
28.0339,1.6596,14347.0,Algeria
42.5063,1.5218,1120.0,Andorra
-11.2027,17.8739,3940.0,Angola
17.0608,-61.7964,9.0,Antigua and Barbuda
-38.4161,-63.6167,158862.0,Argentina
40.0691,45.0382,11830.0,Armenia
-35.4735,149.0124,0.0,"Australian Capital Territory, Australia"
-33.8688,151.2093,1131.0,"New South Wales, Australia"
-12.4634,130.8456,0.0,"Northern Territory, Australia"
-27.4698,153.0251,4.0,"Queensland, Australia"
-34.9285,138.6007,4.0,"South Australia, Australia"
-42.8821,147.3272,0.0,"Tasmania, Australia"
-37.8136,144.9631,242.0,"Victoria, Australia"
-31.9505,115.8605,24.0,"Western Australia, Australia"
47.5162,14.5501,12549.0,Austria
40.1431,47.5769,2990.0,Azerbaijan
25.025885,-78.035889,2095.0,Bahamas
26.0275,50.55,3652.0,Bahrain
23.685,90.3563,79722.0,Bangladesh
13.1939,-59.5432,16.0,Barbados
53.7098,27.9534,6235.0,Belarus
50.8333,4.469936,160912.0,Belgium
17.1899,-88.4976,1029.0,Belize
9.3077,2.3158,125.0,Benin
27.5142,90.4336,20.0,Bhutan
-16.2902,-63.5887,27413.0,Bolivia
43.9159,17.6791,6896.0,Bosnia and Herzegovina
-22.3285,24.6849,2989.0,Botswana
-9.0238,-70.812,1553.0,"Acre, Brazil"
-9.5713,-36.782,1473.0,"Alagoas, Brazil"
0.902,-52.003,12256.0,"Amapa, Brazil"
-3.4168,-65.8561,25065.0,"Amazonas, Brazil"
-12.5797,-41.7007,13065.0,"Bahia, Brazil"
-5.4984,-39.3206,30094.0,"Ceara, Brazil"
-15.7998,-47.8645,9480.0,"Distrito Federal, Brazil"
-19.1834,-40.3089,10452.0,"Espirito Santo, Brazil"
-15.827,-49.8362,10980.0,"Goias, Brazil"
-4.9609,-45.2744,9122.0,"Maranhao, Brazil"
-12.6819,-56.9211,17999.0,"Mato Grosso, Brazil"
-20.7722,-54.7852,5903.0,"Mato Grosso do Sul, Brazil"
-18.5122,-44.555,33855.0,"Minas Gerais, Brazil"
-1.9981,-54.9306,10855.0,"Para, Brazil"
-7.24,-36.782,23413.0,"Paraiba, Brazil"
-25.2521,-52.0215,51636.0,"Parana, Brazil"
-8.8137,-36.9541,15275.0,"Pernambuco, Brazil"
-7.7183,-42.7289,2813.0,"Piaui, Brazil"
-5.4026,-36.9541,29876.0,"Rio Grande do Norte, Brazil"
-30.0346,-51.2177,14865.0,"Rio Grande do Sul, Brazil"
-22.9068,-43.1729,7799.0,"Rio de Janeiro, Brazil"
-11.5057,-63.5806,7007.0,"Rondonia, Brazil"
-2.7376,-62.0751,4168.0,"Roraima, Brazil"
-27.2423,-50.2189,14965.0,"Santa Catarina, Brazil"
-23.5505,-46.6333,105724.0,"Sao Paulo, Brazil"
-10.5741,-37.3857,5585.0,"Sergipe, Brazil"
-10.1753,-48.2982,15255.0,"Tocantins, Brazil"
4.5353,114.7277,1.0,Brunei
42.7339,25.4858,9885.0,Bulgaria
12.2383,-1.5616,625.0,Burkina Faso
21.9162,95.956,16880.0,Burma
-3.3731,29.9189,31.0,Burundi
16.5388,-23.0418,1017.0,Cabo Verde
11.55,104.9167,5.0,Cambodia
3.8480000000000003,11.5021,901.0,Cameroon
53.9333,-116.5765,2738.0,"Alberta, Canada"
53.7267,-127.6476,1493.0,"British Columbia, Canada"
53.7609,-98.8139,1527.0,"Manitoba, Canada"
46.5653,-66.4619,89.0,"New Brunswick, Canada"
53.1355,-57.6604,9.0,"Newfoundland and Labrador, Canada"
64.8255,-124.8457,0.0,"Northwest Territories,Canada"
44.681999999999995,-63.7443,3.0,"Nova Scotia, Canada"
51.2538,-85.3232,5827.0,"Ontario, Canada"
46.5107,-63.4168,5.0,"Prince Edward Island, Canada"
52.9399,-73.5491,8491.0,"Quebec, Canada"
52.9399,-106.4509,271.0,"Saskatchewan, Canada"
64.2823,-135.0,0.0,"Yukon, Canada"
6.6111,20.9394,2869.0,Central African Republic
15.4542,18.7322,138.0,Chad
-23.6509,-70.3975,473.0,"Antofagasta, Chile"
-38.9489,-72.3311,1228.0,"Araucania, Chile"
-18.594,-69.4785,486.0,"Arica y Parinacota, Chile"
-27.5661,-70.0503,270.0,"Atacama, Chile"
-45.9864,-73.7669,177.0,"Aysen, Chile"
-37.4464,-72.1416,1680.0,"Biobio, Chile"
-29.959,-71.3389,216.0,"Coquimbo, Chile"
-41.9198,-72.1416,1470.0,"Los Lagos, Chile"
-40.231,-72.3311,396.0,"Los Rios, Chile"
-52.368,-70.9863,1136.0,"Magallanes, Chile"
-35.5183,-71.6885,914.0,"Maule, Chile"
-33.4376,-70.6505,2991.0,"Metropolitana, Chile"
-36.7226,-71.7622,284.0,"Nuble, Chile"
-34.5755,-71.0022,640.0,"OHiggins, Chile"
-19.9232,-69.5132,302.0,"Tarapaca, Chile"
-33.0472,-71.6127,864.0,"Valparaiso, Chile"
31.8257,117.2264,0.0,"Anhui, China"
40.1824,116.4142,1.0,"Beijing, China"
30.0572,107.874,2.0,"Chongqing, China"
26.0789,117.9874,10.0,"Fujian, China"
35.7518,104.2861,0.0,"Gansu, China"
23.3417,113.4244,36.0,"Guangdong, China"
23.8298,108.7881,2.0,"Guangxi, China"
26.8154,106.8748,0.0,"Guizhou, China"
19.1959,109.7453,0.0,"Hainan, China"
37.8957,114.9042,4.0,"Hebei, China"
47.861999999999995,127.7615,0.0,"Heilongjiang, China"
33.882,113.61399999999999,3.0,"Henan, China"
22.3,114.2,165.0,"Hong Kong, China"
30.9756,112.2707,0.0,"Hubei, China"
27.6104,111.7088,0.0,"Hunan, China"
44.0935,113.9448,11.0,"Inner Mongolia, China"
32.9711,119.455,5.0,"Jiangsu, China"
27.614,115.7221,0.0,"Jiangxi, China"
43.6661,126.1923,0.0,"Jilin, China"
41.2956,122.6085,8.0,"Liaoning, China"
22.1667,113.55,0.0,"Macau, China"
37.2692,106.1655,0.0,"Ningxia, China"
